TextileID,Time,Taskname,10M,1M,330k,100k,47k,10k,4.7k,1k,407,220,47,10,4.7,Newton,Weight
e4,49117,PressureDynamics,4000,3922,3781,3387,3047,1582,998,290,147,79,24,5,3,1.015,-1
e4,49127,PressureDynamics,4011,3929,3795,3417,3105,1618,1014,295,150,79,23,7,3,1.009,-1
e4,49137,PressureDynamics,4006,3930,3794,3409,3093,1613,1004,288,147,77,24,4,3,0.986,-1
e4,49147,PressureDynamics,4008,3930,3803,3425,3120,1635,1026,295,151,79,23,5,3,0.957,-1
e4,49157,PressureDynamics,4000,3924,3782,3388,3066,1576,980,279,142,75,22,5,3,0.925,-1
e4,49167,PressureDynamics,4005,3921,3782,3389,3049,1564,972,277,140,74,22,5,3,0.911,-1
e4,49177,PressureDynamics,4002,3912,3759,3353,3007,1523,938,267,136,71,21,4,3,0.895,-1
e4,49187,PressureDynamics,4000,3922,3763,3360,3020,1524,930,260,132,70,20,5,3,0.883,-1
e4,49197,PressureDynamics,3992,3909,3727,3304,2945,1436,875,241,122,63,18,4,2,0.873,-1
e4,49208,PressureDynamics,3982,3877,3671,3207,2845,1303,767,205,103,54,16,3,2,0.848,-1
e4,49217,PressureDynamics,3921,3795,3558,2979,2586,1088,622,160,79,41,12,3,2,0.812,-1
e4,49222,PressureDynamics,3847,3725,3445,2844,2404,932,531,134,66,34,9,2,1,0.791,-1
e4,49233,PressureDynamics,3796,3666,3332,2664,2233,792,425,106,52,27,8,2,1,0.781,-1
e4,49243,PressureDynamics,3730,3556,3158,2380,1920,621,321,73,38,19,5,1,1,0.773,-1
e4,49253,PressureDynamics,3687,3525,3048,2254,1818,538,273,65,32,16,4,1,1,0.772,-1
e4,49264,PressureDynamics,3672,3432,3016,2181,1769,539,285,67,33,17,5,1,1,0.765,-1
e4,49274,PressureDynamics,3741,3582,3164,2378,1938,625,334,79,39,20,6,1,1,0.774,-1
e4,49283,PressureDynamics,3725,3559,3175,2413,1980,639,344,82,41,21,6,1,1,0.767,-1
e4,49292,PressureDynamics,3750,3553,3175,2408,1959,646,350,83,41,21,6,1,1,0.771,-1
e4,49301,PressureDynamics,3752,3561,3194,2435,1996,658,353,84,42,22,6,1,1,0.773,-1
e4,49309,PressureDynamics,3744,3556,3168,2419,1975,644,346,82,40,21,6,2,1,0.772,-1
e4,49318,PressureDynamics,3729,3565,3184,2419,1983,647,350,83,41,21,6,1,1,0.768,-1
e4,49327,PressureDynamics,3751,3597,3198,2457,1999,655,355,84,42,22,6,1,1,0.77,-1
e4,49336,PressureDynamics,3742,3608,3201,2470,2012,666,363,86,42,22,6,1,1,0.77,-1
e4,49344,PressureDynamics,3752,3577,3170,2428,1998,666,363,87,43,23,6,1,1,0.77,-1
e4,49353,PressureDynamics,3750,3559,3201,2456,2017,673,365,89,44,23,6,1,1,0.767,-1
e4,49362,PressureDynamics,3732,3565,3198,2451,2011,679,369,88,44,22,7,1,1,0.77,-1
e4,49370,PressureDynamics,3727,3558,3180,2467,2028,687,373,88,44,23,7,1,1,0.769,-1
e4,49380,PressureDynamics,3759,3571,3194,2483,2046,692,375,90,45,23,7,1,1,0.769,-1
e4,49389,PressureDynamics,3741,3564,3188,2462,2020,688,374,90,43,23,7,1,1,0.771,-1
e4,49398,PressureDynamics,3743,3544,3178,2442,2014,681,372,90,44,22,6,1,1,0.77,-1
e4,49407,PressureDynamics,3743,3564,3175,2442,2018,678,369,90,43,22,7,1,1,0.773,-1
e4,49424,PressureDynamics,3731,3576,3169,2428,2000,673,363,87,43,21,7,1,1,0.77,-1
e4,49435,PressureDynamics,3745,3563,3195,2468,2030,683,370,89,44,23,7,1,1,0.771,-1
e4,49446,PressureDynamics,3756,3559,3172,2437,2011,675,367,89,43,23,6,2,1,0.772,-1
e4,49457,PressureDynamics,3741,3565,3174,2465,2015,681,370,89,44,22,7,1,1,0.771,-1
e4,49466,PressureDynamics,3750,3581,3197,2460,2034,690,375,91,45,23,7,1,1,0.768,-1
e4,49477,PressureDynamics,3738,3553,3189,2460,2021,689,376,90,45,23,7,1,1,0.769,-1
